MutantNo,[FAIL | TIME | EXC | LIVE]
1,LIVE
2,LIVE
3,FAIL
4,FAIL
5,FAIL
6,FAIL
7,FAIL
8,FAIL
9,FAIL
10,FAIL
11,FAIL
12,FAIL
13,FAIL
14,FAIL
15,FAIL
16,FAIL
17,FAIL
18,FAIL
19,FAIL
20,FAIL
21,FAIL
22,FAIL
23,FAIL
24,FAIL
25,FAIL
26,FAIL
27,FAIL
28,FAIL
29,LIVE
30,LIVE
31,FAIL
32,LIVE
33,FAIL
34,LIVE
42,FAIL
43,FAIL
44,LIVE
45,FAIL
46,FAIL
47,FAIL
48,FAIL
49,FAIL
50,FAIL
51,LIVE
52,FAIL
53,FAIL
54,FAIL
55,FAIL
56,FAIL
57,FAIL
58,LIVE
59,LIVE
60,FAIL
61,FAIL
62,FAIL
63,FAIL
64,FAIL
65,FAIL
66,FAIL
67,FAIL
68,FAIL
69,FAIL
70,FAIL
71,FAIL
72,FAIL
73,FAIL
74,FAIL
75,FAIL
76,FAIL
77,FAIL
78,FAIL
79,FAIL
80,FAIL
81,FAIL
82,FAIL
83,FAIL
84,FAIL
85,FAIL
86,FAIL
87,LIVE
88,LIVE
89,FAIL
90,FAIL
91,FAIL
92,FAIL
93,FAIL
94,FAIL
95,FAIL
96,LIVE
97,FAIL
98,LIVE
99,FAIL
100,FAIL
101,FAIL
102,FAIL
103,LIVE
104,FAIL
105,LIVE
106,FAIL
107,LIVE
108,LIVE
109,LIVE
110,FAIL
111,LIVE
112,LIVE
113,FAIL
114,FAIL
115,LIVE
116,LIVE
117,FAIL
118,LIVE
119,LIVE
120,FAIL
121,LIVE
122,FAIL
123,LIVE
124,FAIL
125,FAIL
126,LIVE
127,FAIL
128,FAIL
129,FAIL
130,FAIL
131,FAIL
132,FAIL
133,FAIL
134,FAIL
135,FAIL
136,FAIL
137,FAIL
138,FAIL
139,LIVE
140,FAIL
141,LIVE
142,FAIL
143,FAIL
144,FAIL
145,LIVE
146,FAIL
147,FAIL
148,FAIL
149,LIVE
150,FAIL
151,FAIL
152,FAIL
153,FAIL
154,FAIL
155,FAIL
156,FAIL
157,FAIL
158,LIVE
