name,y,x1,ms,mutTotal,mutKilled,testMethodNum,SLOC,testPer100Mut,averageTestSuiteSize,lnms,lnmutTotal,lnmutKilled,lntestMethodNum,lnSLOC,lntestPer100Mut,lnaverageTestSuiteSize,neginvms,neginvmutTotal,neginvmutKilled,neginvtestMethodNum,neginvSLOC,neginvtestPer100Mut,neginvaverageTestSuiteSize
scribe-java,0.65265973,1,0.351901446,1867,657,99,2778,5.302624531,7.5365,-1.044404125,7.532088144,6.487684018,4.59511985,7.929486523,1.668201893,2.019757883,-2.841704718,-0.000535619,-0.00152207,-0.01010101,-0.000359971,-0.188585859,-0.132687587
scrypt,0.791401895,1,0.837418301,1224,1025,22,467,1.797385621,18.2625,-0.177431571,7.109879463,6.932447892,3.091042453,6.146329258,0.586333176,2.904849777,-1.194146341,-0.000816993,-0.00097561,-0.045454545,-0.002141328,-0.556363636,-0.054757016
skype-java-api,0.742969902,1,0.13499385,6504,878,43,6356,0.661131611,18.5865,-2.002526058,8.780172651,6.777646594,3.761200116,8.757154528,-0.41380235,2.922435511,-7.407744875,-0.000153752,-0.001138952,-0.023255814,-0.000157332,-1.51255814,-0.053802491
sonar-objective-c,0.580672577,1,0.256794752,1067,274,31,1441,2.905342081,12.2055,-1.359478145,6.972606251,5.613128106,3.433987204,7.273092596,1.066551139,2.50188667,-3.894160584,-0.000937207,-0.003649635,-0.032258065,-0.000693963,-0.344193548,-0.081930277
spatial4j,0.849452364,1,0.498434646,7666,3821,252,5243,3.287242369,6.0135,-0.696282798,8.944550246,8.248267447,5.529429088,8.564649133,1.190049028,1.794006942,-2.006281078,-0.000130446,-0.000261712,-0.003968254,-0.00019073,-0.304206349,-0.166292509
spring-data-commons,0.877543388,1,0.613786038,13666,8388,1035,14722,7.573540173,6.009,-0.488108883,9.522666275,9.034557392,6.942156706,9.597098253,2.024660616,1.793258345,-1.629232237,-7.32E-05,-0.000119218,-0.000966184,-6.79E-05,-0.132038647,-0.166417041
spring-retry,0.759619289,1,0.611062718,2296,1403,185,2716,8.057491289,13.4655,-0.492555677,7.738923757,7.24636808,5.220355825,7.906915489,2.086602254,2.600130859,-1.636493229,-0.00043554,-0.000712758,-0.005405405,-0.000368189,-0.124108108,-0.074263859
stateless4j,0.575034361,1,0.561781609,696,391,61,864,8.764367816,13.3595,-0.5766421,6.54534966,5.96870756,4.110873864,6.761572769,2.17069439,2.592227742,-1.780051151,-0.001436782,-0.002557545,-0.016393443,-0.001157407,-0.114098361,-0.074853101
statsd-jvm-profiler,0.553998278,1,0.370257967,659,244,33,691,5.007587253,9.9345,-0.993555309,6.490723535,5.497168225,3.496507561,6.538139824,1.610954213,2.296013548,-2.700819672,-0.001517451,-0.004098361,-0.03030303,-0.001447178,-0.19969697,-0.100659319
urlbuilder,0.762358917,1,0.786653185,989,778,48,690,4.85338726,6.4425,-0.239967807,6.896694332,6.656726524,3.871201011,6.536691598,1.579676865,1.862916664,-1.271208226,-0.001011122,-0.001285347,-0.020833333,-0.001449275,-0.206041667,-0.155219247
visualee,0.723421731,1,0.468421053,1900,890,76,1645,4,6.39,-0.758387702,7.549609165,6.791221463,4.33073334,7.405495663,1.386294361,1.854734268,-2.134831461,-0.000526316,-0.001123596,-0.013157895,-0.000607903,-0.25,-0.156494523
webbit,0.734869089,1,0.330933333,3750,1241,131,4914,3.493333333,54.0125,-1.105838334,8.229511119,7.123672785,4.875197323,8.499843553,1.25085639,3.989215501,-3.021756648,-0.000266667,-0.000805802,-0.007633588,-0.0002035,-0.286259542,-0.018514233
webprotege,0.882094626,1,0.091383939,61455,5616,1659,77573,2.699536246,54.561,-2.392685533,11.02606048,8.633374946,7.41397029,11.25897471,0.993079998,3.999319342,-10.94284188,-1.63E-05,-0.000178063,-0.000602773,-1.29E-05,-0.370433996,-0.01832811
WorldGuard,0.651921025,1,0.043555556,25875,1127,148,21845,0.571980676,52.099,-3.133718017,10.16103253,7.027314514,4.997212274,9.991727341,-0.558650071,3.953145755,-22.95918367,-3.86E-05,-0.000887311,-0.006756757,-4.58E-05,-1.748310811,-0.019194226
wsc,0.795662905,1,0.094082873,17931,1687,16,13016,0.089230941,51.087,-2.363579255,9.794286337,7.430707083,2.772588722,9.473934649,-2.416527429,3.933530062,-10.62892709,-5.58E-05,-0.000592768,-0.0625,-7.68E-05,-11.206875,-0.019574451
